,Spoint,date
735,562077,1508248800
736,569697,1508256000
737,574848,1508263200
738,588909,1508266800
739,595129,1508274000
740,626515,1508284800
741,630599,1508295600
742,644988,1508306400
743,650232,1508324400
744,645469,1508335200
745,655091,1508346000
746,672614,1508356800
747,691216,1508367600
748,706268,1508382000
749,717459,1508389200
750,724652,1508407200
751,722423,1508414400
752,721182,1508428800
753,722088,1508436000
754,731813,1508446800
755,742382,1508457600
756,755654,1508472000
757,757546,1508479200
758,759185,1508497200
759,758725,1508508000
760,762259,1508518800
761,768892,1508529600
762,778989,1508540400
763,782456,1508551200
764,784035,1508562000
765,780776,1508576400
766,774446,1508587200
767,769799,1508598000
768,778948,1508608800
769,779653,1508619600
770,785365,1508630400
771,787185,1508641200
772,788380,1508652000
773,775980,1508673600
774,767353,1508684400
775,766859,1508695200
776,781365,1508709600
777,782719,1508716800
778,795610,1508727600
779,794995,1508738400
780,784607,1508756400
781,780358,1508763600
782,777466,1508774400
783,784977,1508785200
784,798090,1508796000
785,809968,1508806800
786,818962,1508817600
787,821603,1508828400
788,805560,1508850000
789,94046,1508857200
790,120599,1508860800
791,177638,1508868000
792,197631,1508875200
793,231928,1508882400
794,247929,1508886000
795,276386,1508893200
796,291349,1508896800
797,316551,1508904000
798,328010,1508911200
799,347146,1508914800
800,354511,1508922000
801,361381,1508925600
802,364929,1508932800
803,370219,1508936400
804,374744,1508943600
805,388439,1508947200
806,398211,1508954400
807,418923,1508958000
808,429095,1508961600
809,449426,1508968800
810,106850,1508972400
811,130498,1508979600
812,145747,1508986800
813,172763,1508990400
814,187646,1508997600
815,213031,1509008400
816,221571,1509015600
817,226260,1509022800
818,245185,1509033600
819,255486,1509037200
820,278593,1509044400
821,312734,1509051600
822,321797,1509058800
823,340204,1509066000
824,347751,1509076800
825,373064,1509080400
826,384837,1509087600
827,388097,1509094800
828,393697,1509102000
829,397328,1509109200
830,400263,1509112800
831,411170,1509120000
832,419041,1509127200
833,437119,1509130800
834,444922,1509134400
835,462733,1509141600
836,470236,1509148800
837,482423,1509152400
838,487048,1509159600
839,497442,1509163200
840,501030,1509166800
841,506862,1509174000
842,507935,1509184800
843,506247,1509188400
844,506218,1509195600
845,510131,1509202800
846,512980,1509213600
847,523483,1509217200
848,527424,1509220800
849,538295,1509228000
850,551553,1509238800
851,562940,1509249600
852,570758,1509260400
853,571531,1509274800
854,570431,1509289200
855,578164,1509296400
856,593707,1509307200
857,611935,1509318000
858,629289,1509328800
859,646179,1509339600
860,652739,1509357600
861,649292,1509368400
862,651212,1509382800
863,663817,1509390000
864,678495,1509400800
865,690675,1509411600
866,701389,1509426000
867,710741,1509433200
868,711058,1509447600
869,711812,1509458400
870,722089,1509469200
871,736070,1509480000
872,748661,1509490800
873,755720,1509501600
874,761819,1509512400
875,761285,1509534000
876,757283,1509541200
877,760500,1509552000
878,773225,1509562800
879,788297,1509573600
880,801204,1509584400
881,808937,1509595200
882,811037,1509613200
883,805803,1509624000
884,799030,1509634800
885,800096,1509645600
886,134239,1509660000
887,186565,1509667200
888,201339,1509674400
889,226467,1509678000
890,239397,1509685200
891,267346,1509692400
892,283695,1509703200
893,288663,1509710400
894,294555,1509714000
895,301623,1509717600
896,327874,1509728400
897,350428,1509732000
898,364721,1509739200
899,382733,1509746400
900,383874,1509753600
901,404556,1509757200
902,411594,1509760800
903,425724,1509768000
904,431557,1509775200
905,443451,1509778800
906,446235,1509786000
907,449673,1509789600
908,450200,1509793200
909,451935,1509800400
910,453284,1509804000
911,465601,1509814800
912,485537,1509825600
913,499766,1509832800
914,506409,1509836400
915,519059,1509843600
916,524626,1509847200
917,536875,1509850800
918,542114,1509858000
919,551108,1509865200
920,557170,1509876000
921,558059,1509879600
922,559884,1509886800
923,561184,1509894000
924,567249,1509897600
925,571925,1509901200
926,583973,1509908400
927,590032,1509912000
928,110120,1509919200
929,129024,1509922800
930,161654,1509930000
931,177568,1509933600
932,208990,1509940800
933,74827,1509944400
934,87118,1509951600
935,92699,1509955200
936,99217,1509962400
937,103082,1509966000
938,109438,1509973200
939,115154,1509976800
940,132096,1509984000
941,146391,1509987600
942,179459,1509991200
943,196422,1509998400
944,219516,1510005600
945,242968,1510009200
946,271390,1510016400
947,282784,1510020000
948,305518,1510027200
949,315109,1510030800
950,332865,1510034400
951,335742,1510041600
952,336346,1510056000
953,334394,1510063200
954,340934,1510070400
955,345327,1510074000
956,363530,1510081200
957,370442,1510084800
958,389123,1510092000
959,396252,1510095600
960,413517,1510102800
961,418624,1510106400
962,431936,1510113600
963,438556,1510117200
964,449718,1510128000
965,452734,1510135200
966,451029,1510138800
967,450639,1510146000
968,450412,1510149600
969,456808,1510156800
970,462319,1510160400
971,479680,1510164000
972,486977,1510174800
973,506192,1510178400
974,514855,1510182000
975,531353,1510189200
976,537765,1510192800
977,552227,1510200000
978,559256,1510203600
979,577404,1510221600
980,577396,1510232400
981,581521,1510243200
982,598077,1510254000
983,616019,1510264800
984,632044,1510275600
985,643531,1510286400
986,654072,1510297200
987,653163,1510315200
988,649981,1510326000
989,655693,1510336800
990,671757,1510347600
991,699278,1510362000
992,701067,1510372800
993,720982,1510383600
994,718157,1510405200
995,715704,1510416000
996,721229,1510426800
997,729038,1510437600
998,735927,1510448400
999,740754,1510459200
1000,745946,1510470000
1001,742914,1510484400
1002,740273,1510495200
1003,742576,1510509600
1004,749756,1510520400
1005,101802,1510531200
1006,135535,1510534800
1007,153739,1510538400
1008,188042,1510545600
1009,206144,1510549200
1010,232716,1510556400
1011,242174,1510560000
1012,257219,1510570800
1013,263067,1510578000
1014,267824,1510581600
1015,279975,1510588800
1016,290844,1510592400
1017,316424,1510599600
1018,330396,1510606800
1019,356541,1510610400
1020,368611,1510614000
